"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"393","01-17T09:00:00",96,14,30.2,30.2,7.7
"394","01-17T10:00:00",92,14.8,34.3,34.3,8.1
"395","01-17T11:00:00",104,15.1,37.3,37.3,7.9
"396","01-17T12:00:00",111,15,39.5,39.5,7.8
"397","01-17T13:00:00",108,15,40.8,40.8,8.4
"398","01-17T14:00:00",126,15.1,41.3,41.3,8.8
"399","01-17T15:00:00",115,15.4,40.7,40.7,9
"400","01-17T16:00:00",118,15.8,39,39,8.1
"401","01-17T17:00:00",99,15.5,35.5,35.5,7
"402","01-17T18:00:00",99,15.1,32.5,32.5,7
"403","01-17T19:00:00",121,14.9,30.4,30.4,7
"404","01-17T20:00:00",109,14.9,29.2,29.2,7.1
"405","01-17T21:00:00",135,14.7,28.4,28.4,7.5
"406","01-17T22:00:00",126,14.6,27.7,27.7,7.3
"407","01-17T23:00:00",126,14.4,27.2,27.2,7.4
"408","01-18T00:00:00",139,14.1,26.9,26.9,7.5
"409","01-18T01:00:00",123,13.8,26.6,26.6,7.5
"410","01-18T02:00:00",113,13.5,26.4,26.4,7.2
"411","01-18T03:00:00",117,13.2,26.1,26.1,7.1
"412","01-18T04:00:00",132,13,25.7,25.7,7.3
"413","01-18T05:00:00",118,12.7,25.4,25.4,7.2
"414","01-18T06:00:00",127,12.5,25.3,25.3,7.2
"415","01-18T07:00:00",108,12.2,25.2,25.2,7.2
"416","01-18T08:00:00",104,12.6,26.1,26.1,7.3
"417","01-18T09:00:00",98,14.1,30.2,30.2,7.6
"418","01-18T10:00:00",101,14.8,34.3,34.3,8
"419","01-18T11:00:00",113,15.1,37.3,37.3,7.8
"420","01-18T12:00:00",124,15,39.5,39.5,7.8
"421","01-18T13:00:00",126,15,40.7,40.7,8.2
"422","01-18T14:00:00",137,15.2,41.2,41.1,8.7
"423","01-18T15:00:00",126,15.5,40.6,40.6,8.9
"424","01-18T16:00:00",125,15.9,38.9,38.9,8.1
"425","01-18T17:00:00",108,15.7,35.5,35.5,7.1
"426","01-18T18:00:00",109,15.3,32.4,32.4,7.1
"427","01-18T19:00:00",129,15,30.3,30.3,7.1
"428","01-18T20:00:00",125,15,29.1,29.1,7.2
"429","01-18T21:00:00",151,14.8,28.3,28.3,7.5
"430","01-18T22:00:00",135,14.7,27.6,27.6,7.4
"431","01-18T23:00:00",131,14.5,27.2,27.2,7.4
"432","01-19T00:00:00",148,14.2,26.9,26.9,7.5
"433","01-19T01:00:00",128,13.9,26.6,26.6,7.5
"434","01-19T02:00:00",120,13.6,26.4,26.4,7.3
"435","01-19T03:00:00",122,13.3,26,26,7.1
"436","01-19T04:00:00",134,13.1,25.7,25.7,7.3
"437","01-19T05:00:00",114,12.7,25.3,25.3,7.3
"438","01-19T06:00:00",122,12.5,25.1,25.1,7.2
"439","01-19T07:00:00",106,12.2,25,25,7.2
"440","01-19T08:00:00",97,12.6,25.9,25.9,7.2
"441","01-19T09:00:00",93,14.2,30.1,30.1,7.5
"442","01-19T10:00:00",92,14.9,34.2,34.2,8
"443","01-19T11:00:00",108,15.2,37.2,37.2,7.9
"444","01-19T12:00:00",115,15.1,39.4,39.4,7.9
"445","01-19T13:00:00",121,15.1,40.6,40.6,8.2
"446","01-19T14:00:00",128,15.2,41.1,41.1,8.7
"447","01-19T15:00:00",124,15.5,40.6,40.6,9
"448","01-19T16:00:00",127,15.8,38.8,38.8,8.2
"449","01-19T17:00:00",106,15.7,35.5,35.5,7.1
"450","01-19T18:00:00",106,15.3,32.4,32.4,7.1
