"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"2672","04-22T08:00:00",436,61.3,68.1,68.1,8.7
"2673","04-22T09:00:00",353,60.9,71.4,71.3,10.1
"2674","04-22T10:00:00",354,60.2,74.4,74,10.9
"2675","04-22T11:00:00",330,59.8,76.8,76.1,11
"2676","04-22T12:00:00",328,59.5,78.6,77.6,11.5
"2677","04-22T13:00:00",294,59.5,79.8,78.7,11.7
"2678","04-22T14:00:00",286,59.5,80.5,79.3,12.1
"2679","04-22T15:00:00",271,59.5,80.6,79.5,12.2
"2680","04-22T16:00:00",284,59.4,79.9,78.9,12.2
"2681","04-22T17:00:00",266,59.4,78.8,77.9,12.2
"2682","04-22T18:00:00",278,59.8,76.8,76.1,11.4
"2683","04-22T19:00:00",248,60.7,73.2,72.9,9.9
"2684","04-22T20:00:00",267,61.1,70.7,70.6,8.7
"2685","04-22T21:00:00",275,61.3,69.2,69.2,7.9
"2686","04-22T22:00:00",310,61.4,68.2,68.2,7.4
"2687","04-22T23:00:00",296,61.4,67.2,67.2,6.8
"2688","04-23T00:00:00",331,61.3,66.4,66.4,6.4
"2689","04-23T01:00:00",333,61.1,65.6,65.6,6.3
"2690","04-23T02:00:00",335,60.9,65,65,6
"2691","04-23T03:00:00",383,60.8,64.6,64.6,5.7
"2692","04-23T04:00:00",390,60.6,64.2,64.2,5.7
"2693","04-23T05:00:00",388,60.4,63.9,63.9,5.6
"2694","04-23T06:00:00",463,60.3,63.6,63.6,5.9
"2695","04-23T07:00:00",425,61.2,65.3,65.3,7
"2696","04-23T08:00:00",447,61.8,68.5,68.5,8.7
"2697","04-23T09:00:00",361,61.4,71.8,71.6,10
"2698","04-23T10:00:00",359,60.7,74.7,74.3,10.7
"2699","04-23T11:00:00",339,60.3,77.1,76.3,10.9
"2700","04-23T12:00:00",349,60,78.8,77.8,11.4
"2701","04-23T13:00:00",316,60,80,78.8,11.5
"2702","04-23T14:00:00",301,60,80.7,79.5,11.9
"2703","04-23T15:00:00",287,60,80.9,79.7,12.1
"2704","04-23T16:00:00",291,59.9,80.2,79.1,12
"2705","04-23T17:00:00",272,60,79.1,78.2,12.1
"2706","04-23T18:00:00",286,60.4,77.1,76.3,11.4
"2707","04-23T19:00:00",263,61.3,73.5,73.2,10.1
"2708","04-23T20:00:00",274,61.7,71,70.9,8.8
"2709","04-23T21:00:00",288,61.8,69.6,69.6,8.1
"2710","04-23T22:00:00",310,61.9,68.5,68.5,7.5
"2711","04-23T23:00:00",307,61.9,67.7,67.7,6.9
"2712","04-24T00:00:00",334,61.8,66.8,66.8,6.5
"2713","04-24T01:00:00",345,61.6,66.1,66.1,6.4
"2714","04-24T02:00:00",345,61.4,65.4,65.4,6
"2715","04-24T03:00:00",392,61.3,65,65,5.8
"2716","04-24T04:00:00",398,61.1,64.7,64.7,5.9
"2717","04-24T05:00:00",402,60.9,64.4,64.4,5.7
"2718","04-24T06:00:00",477,60.8,64.1,64.1,6
"2719","04-24T07:00:00",438,61.7,65.8,65.8,7.1
"2720","04-24T08:00:00",461,62.3,68.9,68.8,8.9
"2721","04-24T09:00:00",370,61.9,72,71.9,10
"2722","04-24T10:00:00",359,61.2,75,74.5,10.7
"2723","04-24T11:00:00",348,60.8,77.3,76.5,10.9
"2724","04-24T12:00:00",350,60.6,79,78,11.4
"2725","04-24T13:00:00",318,60.5,80.2,79,11.7
"2726","04-24T14:00:00",304,60.6,80.9,79.7,11.9
"2727","04-24T15:00:00",294,60.5,81.2,79.9,12.1
"2728","04-24T16:00:00",298,60.5,80.4,79.3,12.1
"2729","04-24T17:00:00",283,60.6,79.3,78.3,12.1
"2730","04-24T18:00:00",298,61,77.3,76.5,11.5
"2731","04-24T19:00:00",274,61.8,73.7,73.4,10.1
"2732","04-24T20:00:00",287,62.1,71.3,71.2,8.8
"2733","04-24T21:00:00",304,62.3,69.9,69.8,8.1
"2734","04-24T22:00:00",315,62.3,68.8,68.8,7.5
"2735","04-24T23:00:00",314,62.3,67.9,67.9,6.9
"2736","04-25T00:00:00",348,62.2,67.1,67.1,6.6
"2737","04-25T01:00:00",351,62,66.4,66.4,6.5
"2738","04-25T02:00:00",353,61.7,65.8,65.8,6.2
"2739","04-25T03:00:00",394,61.6,65.4,65.4,6
"2740","04-25T04:00:00",405,61.4,64.9,64.9,6
"2741","04-25T05:00:00",395,61.2,64.7,64.7,5.9
"2742","04-25T06:00:00",465,61.1,64.5,64.5,6.2
"2743","04-25T07:00:00",443,62,66.2,66.2,7.2
"2744","04-25T08:00:00",450,62.6,69.1,69.1,9
"2745","04-25T09:00:00",365,62.1,72.3,72.1,10.1
"2746","04-25T10:00:00",346,61.5,75.2,74.7,10.8
"2747","04-25T11:00:00",340,61.1,77.6,76.7,10.8
"2748","04-25T12:00:00",352,60.9,79.3,78.2,11.4
"2749","04-25T13:00:00",318,60.9,80.5,79.2,11.7
"2750","04-25T14:00:00",306,60.9,81.2,79.8,11.9
"2751","04-25T15:00:00",294,60.9,81.4,80,12
"2752","04-25T16:00:00",298,60.8,80.7,79.5,12
"2753","04-25T17:00:00",281,60.9,79.6,78.5,12.1
"2754","04-25T18:00:00",303,61.3,77.6,76.7,11.4
"2755","04-25T19:00:00",285,62.1,74.1,73.7,10
"2756","04-25T20:00:00",289,62.4,71.6,71.5,8.9
"2757","04-25T21:00:00",304,62.5,70.2,70.1,8.1
"2758","04-25T22:00:00",321,62.6,69.1,69.1,7.5
"2759","04-25T23:00:00",313,62.6,68.3,68.3,6.9
"2760","04-26T00:00:00",349,62.5,67.4,67.4,6.7
"2761","04-26T01:00:00",353,62.2,66.7,66.7,6.5
"2762","04-26T02:00:00",353,61.9,66,66,6.2
"2763","04-26T03:00:00",400,61.7,65.6,65.6,6.1
"2764","04-26T04:00:00",411,61.5,65.2,65.2,6
"2765","04-26T05:00:00",402,61.3,64.9,64.9,5.9
"2766","04-26T06:00:00",460,61.3,64.7,64.7,6.3
"2767","04-26T07:00:00",441,62.2,66.4,66.4,7.3
"2768","04-26T08:00:00",448,62.7,69.4,69.4,8.9
"2769","04-26T09:00:00",363,62.3,72.6,72.4,10
"2770","04-26T10:00:00",350,61.7,75.4,74.9,10.7
"2771","04-26T11:00:00",344,61.4,77.8,76.8,10.7
"2772","04-26T12:00:00",350,61.1,79.5,78.4,11.4
"2773","04-26T13:00:00",319,61,80.7,79.4,11.7
"2774","04-26T14:00:00",304,61.1,81.4,80,11.8
