"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1977","03-24T09:00:00",114,62.1,74,73.6,11.2
"1978","03-24T10:00:00",124,61.6,76.6,75.8,12.2
"1979","03-24T11:00:00",116,61.3,78.3,77.3,12.6
"1980","03-24T12:00:00",136,61.3,79.5,78.3,12.9
"1981","03-24T13:00:00",152,61.3,79.9,78.7,13.4
"1982","03-24T14:00:00",123,61.2,80.1,78.9,13.7
"1983","03-24T15:00:00",120,61.1,79.9,78.7,13.5
"1984","03-24T16:00:00",121,61.2,79.3,78.2,13.4
"1985","03-24T17:00:00",120,61.4,78,77.2,12.8
"1986","03-24T18:00:00",125,61.6,76.1,75.6,12.1
"1987","03-24T19:00:00",145,61.8,74.2,73.9,10.9
"1988","03-24T20:00:00",137,62.2,73.2,73,10
"1989","03-24T21:00:00",125,62.4,72.5,72.4,9.5
"1990","03-24T22:00:00",117,62.5,71.8,71.8,9
"1991","03-24T23:00:00",115,62.5,71.3,71.2,8.8
"1992","03-25T00:00:00",128,62.9,70.7,70.7,8.6
"1993","03-25T01:00:00",126,62.3,70,70,8.2
"1994","03-25T02:00:00",153,62.4,69.4,69.4,8
"1995","03-25T03:00:00",139,62.3,68.9,68.9,7.8
"1996","03-25T04:00:00",141,62.2,68.5,68.5,7.5
"1997","03-25T05:00:00",140,62,68.2,68.1,7.4
"1998","03-25T06:00:00",150,61.8,68,67.9,7.4
"1999","03-25T07:00:00",139,62,68.4,68.3,7.5
"2000","03-25T08:00:00",112,62.3,71.2,71.1,9.4
"2001","03-25T09:00:00",105,62.1,74.1,73.7,11.2
"2002","03-25T10:00:00",119,61.7,76.7,75.8,12.2
"2003","03-25T11:00:00",112,61.3,78.4,77.3,12.5
"2004","03-25T12:00:00",128,61.2,79.6,78.4,12.9
"2005","03-25T13:00:00",145,61.2,80.1,78.8,13.4
"2006","03-25T14:00:00",121,61.2,80.2,79,13.6
"2007","03-25T15:00:00",116,61.1,80,78.8,13.5
"2008","03-25T16:00:00",117,61.2,79.4,78.3,13.4
"2009","03-25T17:00:00",118,61.4,78.1,77.2,12.9
"2010","03-25T18:00:00",127,61.6,76.2,75.7,12.2
"2011","03-25T19:00:00",147,61.8,74.2,74,11
"2012","03-25T20:00:00",141,62.2,73.2,73,10.1
"2013","03-25T21:00:00",131,62.4,72.5,72.4,9.4
"2014","03-25T22:00:00",119,62.4,71.9,71.8,8.9
"2015","03-25T23:00:00",108,62.4,71.3,71.2,8.8
"2016","03-26T00:00:00",121,62.7,70.6,70.6,8.5
"2017","03-26T01:00:00",115,62.3,70,70,8.2
"2018","03-26T02:00:00",142,62.3,69.4,69.4,8
"2019","03-26T03:00:00",125,62.2,68.9,68.8,7.7
"2020","03-26T04:00:00",123,62.1,68.5,68.4,7.4
"2021","03-26T05:00:00",136,62,68.2,68.1,7.3
"2022","03-26T06:00:00",150,61.8,68,67.9,7.2
"2023","03-26T07:00:00",134,61.9,68.4,68.4,7.4
"2024","03-26T08:00:00",112,62.3,71.3,71.2,9.4
"2025","03-26T09:00:00",110,62.1,74.2,73.7,11.2
"2026","03-26T10:00:00",124,61.6,76.7,75.8,12.2
"2027","03-26T11:00:00",116,61.2,78.4,77.4,12.4
"2028","03-26T12:00:00",125,61.2,79.7,78.4,12.8
"2029","03-26T13:00:00",140,61.2,80.1,78.8,13.4
"2030","03-26T14:00:00",117,61.1,80.3,79,13.4
"2031","03-26T15:00:00",114,61,80,78.8,13.4
"2032","03-26T16:00:00",114,61,79.4,78.3,13.4
"2033","03-26T17:00:00",116,61.3,78.1,77.2,12.8
"2034","03-26T18:00:00",122,61.4,76.1,75.6,12.1
"2035","03-26T19:00:00",145,61.7,74.2,74,10.9
"2036","03-26T20:00:00",131,62,73.2,73,10
"2037","03-26T21:00:00",129,62.2,72.5,72.4,9.4
"2038","03-26T22:00:00",121,62.3,71.9,71.8,8.9
"2039","03-26T23:00:00",105,62.3,71.3,71.2,8.8
"2040","03-27T00:00:00",114,62.4,70.5,70.5,8.4
"2041","03-27T01:00:00",110,62.1,70,70,8.2
"2042","03-27T02:00:00",137,62.2,69.4,69.3,7.9
"2043","03-27T03:00:00",121,62,68.8,68.8,7.6
"2044","03-27T04:00:00",119,61.9,68.5,68.4,7.4
"2045","03-27T05:00:00",136,61.8,68.1,68.1,7.2
"2046","03-27T06:00:00",138,61.7,67.9,67.9,7.1
"2047","03-27T07:00:00",122,61.8,68.4,68.4,7.4
"2048","03-27T08:00:00",106,62.1,71.3,71.3,9.5
"2049","03-27T09:00:00",108,61.8,74.2,73.8,11.2
"2050","03-27T10:00:00",112,61.4,76.8,76,12.1
"2051","03-27T11:00:00",114,61.1,78.5,77.4,12.4
"2052","03-27T12:00:00",123,61.1,79.7,78.5,12.7
"2053","03-27T13:00:00",135,61.1,80.2,79,13.3
"2054","03-27T14:00:00",114,61.1,80.3,79.1,13.4
"2055","03-27T15:00:00",109,60.9,80.1,78.9,13.4
"2056","03-27T16:00:00",108,61,79.5,78.4,13.2
"2057","03-27T17:00:00",118,61.3,78.1,77.3,12.8
"2058","03-27T18:00:00",127,61.5,76.2,75.7,12.1
"2059","03-27T19:00:00",151,61.7,74.3,74.1,10.9
"2060","03-27T20:00:00",134,62,73.3,73.2,10
"2061","03-27T21:00:00",131,62.2,72.6,72.5,9.4
"2062","03-27T22:00:00",116,62.3,72,71.9,8.9
"2063","03-27T23:00:00",107,62.3,71.4,71.3,8.9
"2064","03-28T00:00:00",114,62.3,70.6,70.5,8.5
"2065","03-28T01:00:00",110,62.2,70.1,70.1,8.2
"2066","03-28T02:00:00",137,62.2,69.5,69.4,7.9
"2067","03-28T03:00:00",121,62.1,68.9,68.9,7.6
"2068","03-28T04:00:00",119,62,68.6,68.5,7.4
"2069","03-28T05:00:00",136,61.9,68.2,68.2,7.3
"2070","03-28T06:00:00",136,61.7,68.1,68,7.2
"2071","03-28T07:00:00",117,61.8,68.6,68.6,7.5
"2072","03-28T08:00:00",103,62.1,71.5,71.4,9.6
"2073","03-28T09:00:00",105,61.8,74.3,73.9,11.3
"2074","03-28T10:00:00",114,61.5,76.9,76,12.1
"2075","03-28T11:00:00",112,61.2,78.6,77.5,12.4
"2076","03-28T12:00:00",123,61.2,79.8,78.6,12.7
"2077","03-28T13:00:00",133,61.1,80.3,79,13.2
"2078","03-28T14:00:00",114,61.2,80.4,79.2,13.3
"2079","03-28T15:00:00",109,61.1,80.1,79,13.3
"2080","03-28T16:00:00",101,61.2,79.6,78.5,13.1
"2081","03-28T17:00:00",113,61.4,78.2,77.4,12.7
"2082","03-28T18:00:00",127,61.6,76.3,75.8,12.1
"2083","03-28T19:00:00",156,61.8,74.4,74.2,10.9
"2084","03-28T20:00:00",131,62.1,73.4,73.3,9.9
"2085","03-28T21:00:00",127,62.3,72.7,72.6,9.4
"2086","03-28T22:00:00",116,62.4,72.1,72,8.8
"2087","03-28T23:00:00",105,62.5,71.5,71.4,8.9
"2088","03-29T00:00:00",110,62.4,70.7,70.6,8.6
"2089","03-29T01:00:00",114,62.3,70.2,70.2,8.1
"2090","03-29T02:00:00",141,62.3,69.6,69.6,7.9
"2091","03-29T03:00:00",122,62.2,69,69,7.6
"2092","03-29T04:00:00",119,62.1,68.7,68.7,7.4
"2093","03-29T05:00:00",138,61.9,68.3,68.3,7.2
"2094","03-29T06:00:00",132,61.8,68.2,68.2,7.1
"2095","03-29T07:00:00",110,61.9,68.8,68.7,7.4
"2096","03-29T08:00:00",101,62.2,71.6,71.6,9.6
"2097","03-29T09:00:00",101,61.9,74.5,74.1,11.4
"2098","03-29T10:00:00",110,61.5,77.1,76.2,12.2
"2099","03-29T11:00:00",109,61.2,78.8,77.7,12.4
"2100","03-29T12:00:00",116,61.2,79.9,78.7,12.6
"2101","03-29T13:00:00",128,61.2,80.4,79.2,13.2
"2102","03-29T14:00:00",110,61.3,80.6,79.3,13.3
"2103","03-29T15:00:00",103,61.2,80.3,79.1,13.2
"2104","03-29T16:00:00",98,61.3,79.8,78.7,13
"2105","03-29T17:00:00",107,61.5,78.4,77.5,12.6
"2106","03-29T18:00:00",120,61.7,76.4,76,12
"2107","03-29T19:00:00",145,61.9,74.5,74.3,10.9
"2108","03-29T20:00:00",122,62.3,73.5,73.4,9.9
"2109","03-29T21:00:00",109,62.5,72.9,72.8,9.3
"2110","03-29T22:00:00",110,62.6,72.3,72.2,8.9
"2111","03-29T23:00:00",103,62.6,71.6,71.6,8.9
"2112","03-30T00:00:00",101,62.6,70.9,70.8,8.5
"2113","03-30T01:00:00",107,62.5,70.4,70.4,8.2
"2114","03-30T02:00:00",134,62.5,69.7,69.7,7.9
"2115","03-30T03:00:00",114,62.4,69.2,69.2,7.5
"2116","03-30T04:00:00",105,62.2,68.8,68.8,7.5
"2117","03-30T05:00:00",123,62.1,68.5,68.5,7.1
"2118","03-30T06:00:00",123,62,68.4,68.4,7.1
"2119","03-30T07:00:00",96,62.1,69,69,7.4
"2120","03-30T08:00:00",96,62.4,71.9,71.9,9.6
"2121","03-30T09:00:00",94,62.1,74.8,74.4,11.4
"2122","03-30T10:00:00",103,61.7,77.4,76.5,12.3
"2123","03-30T11:00:00",100,61.4,79,77.9,12.5
"2124","03-30T12:00:00",109,61.4,80.1,78.9,12.8
"2125","03-30T13:00:00",119,61.4,80.6,79.3,13.2
